Year,Date_Temp,Date,State,Region,Place,Name,Line Check,Latitude,Longitude
2015.0,2/11,2/11/2015,Kedah,Kulim,Taman Perak,"Taman Perak, Kulim, Kedah",1,5.4171052,100.56202900870895
2015.0,2/11,2/11/2015,Kedah,Kulim,Jln. Taman Tiram Indah ke Kulim,"Jln. Taman Tiram Indah ke Kulim, Kulim, Kedah",1,,
2015.0,2/11,2/11/2015,Kedah,Kulim,Hitech,"Hitech, Kulim, Kedah",1,,
2015.0,6/11,6/11/2015,Kedah,Baling,Kg. Sg. Limau,"Kg. Sg. Limau, Baling, Kedah",1,5.6770168,100.8660088
2015.0,6/11,6/11/2015,Kedah,Baling,Kg. Jenalik,"Kg. Jenalik, Baling, Kedah",1,,
2015.0,6/11,6/11/2015,Kedah,Baling,Kg. Haji Abas/Bawah Gunung,"Kg. Haji Abas/Bawah Gunung, Baling, Kedah",1,,
2015.0,6/11,6/11/2015,Kedah,Baling,Kg. Bongor Derum,"Kg. Bongor Derum, Baling, Kedah",1,,
2015.0,6/11,6/11/2015,Kedah,Baling,Kg. Bongor Baru,"Kg. Bongor Baru, Baling, Kedah",1,,
2015.0,6/11,6/11/2015,Kedah,Baling,Kg. Lahar,"Kg. Lahar, Baling, Kedah",1,5.7155328,100.9094869
2015.0,6/11,6/11/2015,Kedah,Baling,Kg. Siput,"Kg. Siput, Baling, Kedah",1,,
2015.0,6/11,6/11/2015,Kedah,Baling,Kg. Bukit Sebelah,"Kg. Bukit Sebelah, Baling, Kedah",1,,
2015.0,6/11,6/11/2015,Kedah,Baling,Kg. Batu 60,"Kg. Batu 60, Baling, Kedah",1,5.5882775,100.7400262
2015.0,8/11,8/11/2015,Kedah,Kulim,Taman Sri Kulim,"Taman Sri Kulim, Kulim, Kedah",1,,
2015.0,8/11,8/11/2015,Kedah,Kulim,Taman Anggerik,"Taman Anggerik, Kulim, Kedah",1,,
2015.0,8/11,8/11/2015,Kedah,Kulim,Kg. Air Merah,"Kg. Air Merah, Kulim, Kedah",1,,
2015.0,8/11,8/11/2015,Kedah,Kulim,Koleh Mara Kulim,"Koleh Mara Kulim, Kulim, Kedah",1,,
2015.0,8/11,8/11/2015,Kedah,Kulim,Kg. Bukit Sarang Ayam,"Kg. Bukit Sarang Ayam, Kulim, Kedah",1,5.456389,100.5707418
2015.0,8/11,8/11/2015,Kedah,Kulim,Kg. Nagalilit,"Kg. Nagalilit, Kulim, Kedah",1,,
2015.0,8/11,8/11/2015,Kedah,Kulim,Kg. Bukit Tok Karim,"Kg. Bukit Tok Karim, Kulim, Kedah",1,,
2015.0,10/11,10/11/2015,Kedah,Baling,Tanjung Pari,"Tanjung Pari, Baling, Kedah",1,5.8837889,100.8919815
2015.0,10/11,10/11/2015,Kedah,Baling,Kg. Baru Siong,"Kg. Baru Siong, Baling, Kedah",1,5.7946717,100.9032414
2015.0,10/11,10/11/2015,Kedah,Baling,Tanjung Merbau,"Tanjung Merbau, Baling, Kedah",1,,
2015.0,10/11,10/11/2015,Kedah,Baling,Kg. Bukit Sebelah,"Kg. Bukit Sebelah, Baling, Kedah",1,,
2015.0,10/11,10/11/2015,Kedah,Baling,Kg. Bukit Sebelah,"Kg. Bukit Sebelah, Baling, Kedah",1,,
2015.0,10/11,10/11/2015,Kedah,Baling,Kg. Bukit Tok Giling,"Kg. Bukit Tok Giling, Baling, Kedah",1,,
2015.0,10/11,10/11/2015,Kedah,Baling,Kg. Tanjung Langsat,"Kg. Tanjung Langsat, Baling, Kedah",1,,
2015.0,10/11,10/11/2015,Kedah,Baling,Kg. Pantai Weng,"Kg. Pantai Weng, Baling, Kedah",1,5.6655608,100.9074429
2015.0,12/11,12/11/2015,Kedah,Kulim,Kg. Seri Bongsu,"Kg. Seri Bongsu, Kulim, Kedah",1,,
2015.0,14/11,14/11/2015,Kedah,Kulim,Kg. Terap,"Kg. Terap, Kulim, Kedah",1,5.2861845,100.6272266
2015.0,14/11,14/11/2015,Kedah,Kulim,Jln. Terap Batu 10,"Jln. Terap Batu 10, Kulim, Kedah",1,5.2773791,100.6190667
2015.0,15/11,15/11/2015,Kedah,Kulim,Kg. Jangkang,"Kg. Jangkang, Kulim, Kedah",1,,
2015.0,15/11,15/11/2015,Kedah,Kulim,Batu Puteh,"Batu Puteh, Kulim, Kedah",1,,
2015.0,15/11,15/11/2015,Kedah,Kulim,Jln. Sg. Kob ke Padang Limau,"Jln. Sg. Kob ke Padang Limau, Kulim, Kedah",1,,
2015.0,16/11,16/11/2015,Kedah,Baling,Tanjung Pari,"Tanjung Pari, Baling, Kedah",1,5.8837889,100.8919815
2015.0,16/11,16/11/2015,Kedah,Baling,Kg. Bukit Sebelah,"Kg. Bukit Sebelah, Baling, Kedah",1,,
2015.0,16/11,16/11/2015,Kedah,Baling,Batu 60,"Batu 60, Baling, Kedah",1,5.5882775,100.7400262
2015.0,16/11,16/11/2015,Kedah,Baling,Kg. Sri Ketangga,"Kg. Sri Ketangga, Baling, Kedah",1,,
2015.0,17/11,17/11/2015,Kedah,Kuala Muda,Jln. Depan Hospital Sg. Petani,"Jln. Depan Hospital Sg. Petani, Kuala Muda, Kedah",1,,
2015.0,17/11,17/11/2015,Kedah,Kuala Muda,Kg. Bakar Kapor,"Kg. Bakar Kapor, Kuala Muda, Kedah",1,5.6437996,100.4789829
2015.0,17/11,17/11/2015,Kedah,Kuala Muda,Kg. Raja,"Kg. Raja, Kuala Muda, Kedah",1,5.6332658,100.5006467
2015.0,19/11,19/11/2015,Kedah,Langkawi,Jln. Pandak Mayah,"Jln. Pandak Mayah, Langkawi, Kedah",1,6.322033,99.8516187
2015.0,19/11,19/11/2015,Kedah,Langkawi,Jln. Konda Istana Hotel,"Jln. Konda Istana Hotel, Langkawi, Kedah",1,,
2015.0,19/11,19/11/2015,Kedah,Langkawi,"Seaview di Pekan, Kuah","Seaview di Pekan, Kuah, Langkawi, Kedah",1,,
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Jln. Hospital Sultan Abd. Halim,"Jln. Hospital Sultan Abd. Halim, Kuala Muda, Kedah",1,,
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Taman Nuri,"Taman Nuri, Kuala Muda, Kedah",1,5.6522503,100.4980373
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Taman Serindik,"Taman Serindik, Kuala Muda, Kedah",1,,
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Air Mendidik,"Air Mendidik, Kuala Muda, Kedah",1,,
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Jln. Batu Lintang,"Jln. Batu Lintang, Kuala Muda, Kedah",1,,
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Kg. Hutan Gelam,"Kg. Hutan Gelam, Kuala Muda, Kedah",1,,
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Taman Berlian,"Taman Berlian, Kuala Muda, Kedah",1,5.6449479,100.5073699
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Taman Teratai Sg. Layar,"Taman Teratai Sg. Layar, Kuala Muda, Kedah",1,5.6568519,100.4784036
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Taman Desa Jaya,"Taman Desa Jaya, Kuala Muda, Kedah",1,5.6688362,100.4977008
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Jln. Kg. Raja,"Jln. Kg. Raja, Kuala Muda, Kedah",1,5.6342992,100.5060757
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Kg. Raja,"Kg. Raja, Kuala Muda, Kedah",1,5.6332658,100.5006467
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Kg. Hj. Wahab,"Kg. Hj. Wahab, Kuala Muda, Kedah",1,5.6052686,100.4663408
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Kg. Batu 2 Watt Siam,"Kg. Batu 2 Watt Siam, Kuala Muda, Kedah",1,,
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Aman Jaya Mall,"Aman Jaya Mall, Kuala Muda, Kedah",1,,
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Taman Padimas,"Taman Padimas, Kuala Muda, Kedah",1,5.6592866,100.4760559
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Jln. Padang Temusu,"Jln. Padang Temusu, Kuala Muda, Kedah",1,5.6052618,100.4719505
2015.0,22/11,22/11/2015,Kedah,Kuala Muda,Taman Berlian,"Taman Berlian, Kuala Muda, Kedah",1,5.6449479,100.5073699
2015.0,24/11,24/11/2015,Kedah,Bandar Baharu,Jln. Ban Syariah,"Jln. Ban Syariah, Bandar Baharu, Kedah",1,,
2015.0,24/11,24/11/2015,Kedah,Bandar Baharu,Kg. Besar,"Kg. Besar, Bandar Baharu, Kedah",1,5.1686431,100.5340973
2015.0,24/11,24/11/2015,Kedah,Bandar Baharu,Lg. Raja,"Lg. Raja, Bandar Baharu, Kedah",1,,
2015.0,24/11,24/11/2015,Kedah,Bandar Baharu,Kg. Ulu Kechil,"Kg. Ulu Kechil, Bandar Baharu, Kedah",1,,
2015.0,24/11,24/11/2015,Kedah,Bandar Baharu,Asam Kumbang,"Asam Kumbang, Bandar Baharu, Kedah",1,,
2015.0,24/11,24/11/2015,Kedah,Bandar Baharu,Kg. Berjaya,"Kg. Berjaya, Bandar Baharu, Kedah",1,,
2015.0,8/12,8/12/2015,Kedah,Bandar Baharu,Kg. Kilang Batu,"Kg. Kilang Batu, Bandar Baharu, Kedah",1,5.19362675,100.62821769871077
2015.0,9/12,9/12/2015,Kedah,Kulim,Kg. Air Putih,"Kg. Air Putih, Kulim, Kedah",1,,
2015.0,11/12,11/12/2015,Kedah,Bandar Baharu,Kg. Sg. Kechil Hilir,"Kg. Sg. Kechil Hilir, Bandar Baharu, Kedah",1,5.17111,100.550627
2015.0,11/12,11/12/2015,Kedah,Bandar Baharu,Kg. Balai Lama,"Kg. Balai Lama, Bandar Baharu, Kedah",1,,
2015.0,13/12,13/12/2015,Kedah,Bandar Baharu,Kg. Tepus,"Kg. Tepus, Bandar Baharu, Kedah",1,5.1230899,100.5286262
2015.0,13/12,13/12/2015,Kedah,Bandar Baharu,Sg. Kechil Hilir,"Sg. Kechil Hilir, Bandar Baharu, Kedah",1,5.17111,100.550627
2015.0,29/11,29/11/2015,Kelantan,Pasir Mas,Kg. Jeram Perdah,"Kg. Jeram Perdah, Pasir Mas, Kelantan",1,,
2015.0,29/11,29/11/2015,Kelantan,Pasir Mas,Kg. Banggol Kong,"Kg. Banggol Kong, Pasir Mas, Kelantan",1,,
2015.0,29/11,29/11/2015,Kelantan,Pasir Mas,Kg. Bukit Lata,"Kg. Bukit Lata, Pasir Mas, Kelantan",1,,
2015.0,29/11,29/11/2015,Kelantan,Pasir Mas,Kg. Lancang,"Kg. Lancang, Pasir Mas, Kelantan",1,,
2015.0,29/11,29/11/2015,Kelantan,Pasir Mas,Kg. Kelawar,"Kg. Kelawar, Pasir Mas, Kelantan",1,,
2015.0,29/11,29/11/2015,Kelantan,Pasir Mas,Kg. Banggor,"Kg. Banggor, Pasir Mas, Kelantan",1,,
2015.0,29/11,29/11/2015,Kelantan,Pasir Mas,Kg. Tersang,"Kg. Tersang, Pasir Mas, Kelantan",1,,
